id,state,city,href
73,california,santa barbara,https://realestate.usnews.com/places/california/santa-barbara
74,california,santa rosa,https://realestate.usnews.com/places/california/santa-rosa
75,south-carolina,myrtle beach,https://realestate.usnews.com/places/south-carolina/myrtle-beach
76,arizona,tucson,https://realestate.usnews.com/places/arizona/tucson
77,oregon,salem,https://realestate.usnews.com/places/oregon/salem
78,florida,port st lucie,https://realestate.usnews.com/places/florida/port-st-lucie
79,kansas,wichita,https://realestate.usnews.com/places/kansas/wichita
80,missouri,springfield,https://realestate.usnews.com/places/missouri/springfield
81,missouri,st louis,https://realestate.usnews.com/places/missouri/st-louis
82,california,sacramento,https://realestate.usnews.com/places/california/sacramento
83,oklahoma,tulsa,https://realestate.usnews.com/places/oklahoma/tulsa
84,pennsylvania,reading,https://realestate.usnews.com/places/pennsylvania/reading
85,ohio,cleveland,https://realestate.usnews.com/places/ohio/cleveland
86,massachusetts,springfield,https://realestate.usnews.com/places/massachusetts/springfield
87,pennsylvania,york,https://realestate.usnews.com/places/pennsylvania/york
88,arkansas,little rock,https://realestate.usnews.com/places/arkansas/little-rock
89,alabama,birmingham,https://realestate.usnews.com/places/alabama/birmingham
90,new-york,new york city,https://realestate.usnews.com/places/new-york/new-york-city
91,rhode-island,providence,https://realestate.usnews.com/places/rhode-island/providence
92,michigan,detroit,https://realestate.usnews.com/places/michigan/detroit
93,pennsylvania,allentown,https://realestate.usnews.com/places/pennsylvania/allentown
94,ohio,toledo,https://realestate.usnews.com/places/ohio/toledo
95,connecticut,new haven,https://realestate.usnews.com/places/connecticut/new-haven
96,louisiana,lafayette,https://realestate.usnews.com/places/louisiana/lafayette
97,ohio,youngstown,https://realestate.usnews.com/places/ohio/youngstown
98,pennsylvania,scranton,https://realestate.usnews.com/places/pennsylvania/scranton
99,florida,daytona beach,https://realestate.usnews.com/places/florida/daytona-beach
100,maryland,baltimore,https://realestate.usnews.com/places/maryland/baltimore
101,texas,killeen,https://realestate.usnews.com/places/texas/killeen
102,pennsylvania,philadelphia,https://realestate.usnews.com/places/pennsylvania/philadelphia
103,virginia,virginia beach,https://realestate.usnews.com/places/virginia/virginia-beach
104,illinois,chicago,https://realestate.usnews.com/places/illinois/chicago
105,texas,corpus christi,https://realestate.usnews.com/places/texas/corpus-christi
106,new-mexico,albuquerque,https://realestate.usnews.com/places/new-mexico/albuquerque
107,california,los angeles,https://realestate.usnews.com/places/california/los-angeles
108,texas,beaumont,https://realestate.usnews.com/places/texas/beaumont
109,louisiana,baton rouge,https://realestate.usnews.com/places/louisiana/baton-rouge
110,texas,el paso,https://realestate.usnews.com/places/texas/el-paso
111,mississippi,jackson,https://realestate.usnews.com/places/mississippi/jackson
112,texas,mcallen,https://realestate.usnews.com/places/texas/mcallen
113,florida,miami,https://realestate.usnews.com/places/florida/miami
114,louisiana,new orleans,https://realestate.usnews.com/places/louisiana/new-orleans
115,michigan,flint,https://realestate.usnews.com/places/michigan/flint
116,texas,brownsville,https://realestate.usnews.com/places/texas/brownsville
117,california,salinas,https://realestate.usnews.com/places/california/salinas
118,tennessee,memphis,https://realestate.usnews.com/places/tennessee/memphis
119,california,fresno,https://realestate.usnews.com/places/california/fresno
120,california,modesto,https://realestate.usnews.com/places/california/modesto
121,alabama,mobile,https://realestate.usnews.com/places/alabama/mobile
122,louisiana,shreveport,https://realestate.usnews.com/places/louisiana/shreveport
123,california,stockton,https://realestate.usnews.com/places/california/stockton
124,california,bakersfield,https://realestate.usnews.com/places/california/bakersfield
